id,date,description,amount,category
342,2025-11-04,AMAZON MKTPLACE 49305966,364.92,Shopping
343,2026-01-01,MENARDS #9323,1912.42,Housing
344,2026-02-20,URGENT CARE 6567,495.67,Healthcare
345,2025-10-26,ZIPCAR 75757,45.27,Transport
346,2025-11-05,MENARDS #7215,1137.83,Housing
347,2026-04-13,DUNKIN #7107,57.38,Food
348,2025-08-10,HBO MAX 386870,21.8,Entertainment
349,2025-06-09,PEST CONTROL 8697,307.37,Housing
350,2025-10-05,JUST EAT 131284,24.93,Food
351,2026-02-23,AMC THEATRES #8444,23.42,Entertainment
352,2026-01-26,CHIROPRACTOR 1255,384.55,Healthcare
353,2025-06-12,STEAM GAMES 16542356,13.28,Entertainment
354,2025-07-01,DUNKIN #9222,79.18,Food
355,2025-10-27,HEALTH INS PMT 11810,213.76,Healthcare
356,2025-11-08,NORDSTROM #6258,296.34,Shopping
357,2026-01-31,CHIPOTLE 8679,32.31,Food
358,2025-11-27,IKEA 937923,434.25,Housing
359,2025-06-28,DISH NETWORK 53663,104.95,Utilities
360,2025-08-24,CENTURYLINK 898331,173.49,Utilities
361,2025-06-05,PP*984870450,220.29,Ambiguous
362,2025-06-23,QUEST DIAGNOSTICS 74654,241.47,Healthcare
363,2025-06-26,CIGNA PREMIUM 80172,138.61,Healthcare
364,2026-04-11,UBER EATS 64967,75.29,Food
365,2026-03-07,LYFT *RIDE 43969,142.69,Transport
366,2025-07-24,PAYMENT 478768,491.51,Ambiguous
367,2026-01-17,INTERNET SVC 12847,54.9,Utilities
368,2025-07-30,ESPN+ SUBSCRIPTION,22.98,Entertainment
369,2026-05-10,CHEVRON 7770,136.14,Transport
370,2026-05-13,URGENT CARE 2231,487.0,Healthcare
371,2026-03-01,APARTMENT FEES 4062,1223.56,Housing
372,2025-06-27,RITE AID #4888,189.16,Healthcare
373,2025-07-25,AMBULANCE SVC 19933,352.64,Healthcare
374,2025-10-26,LYFT *RIDE 41152,49.88,Transport
375,2025-10-11,KHAN ACADEMY,35.02,Education
376,2025-08-11,TOTAL GAS 5349,73.12,Transport
377,2026-01-30,RITE AID #8501,164.27,Healthcare
378,2025-11-25,UNIVERSITY TUITION 92548,258.68,Education
379,2026-04-09,PARKRIGHT 87339,34.31,Transport
380,2026-03-19,CITY MEDICAL CTR 0018,470.22,Healthcare
381,2025-07-12,TWITCH.TV SUB 72131,35.9,Entertainment
382,2025-08-13,REGAL CINEMA 6610,9.74,Entertainment
383,2025-09-24,SHERWIN WILLIAMS 6747,1535.3,Housing
384,2026-02-10,CODECADEMY PRO,642.52,Education
385,2026-01-22,ETSY INC 0617136,162.41,Shopping
386,2025-06-01,HERTZ #51834,17.57,Transport
387,2025-11-24,COSTCO WHSE #8065,132.95,Shopping
388,2025-07-02,TOLL PAYMENT 326773,126.72,Transport
389,2025-10-23,RENT PMT FEB 0293,1243.03,Housing
390,2026-05-06,TUTORING SVC 3135,470.74,Education
391,2026-05-08,PROPERTY MGMT 7174,1681.85,Housing
392,2025-05-19,HOME DEPOT #6090,1463.34,Housing
393,2026-05-06,EXAM FEE 41865,364.48,Education
394,2025-11-03,IKEA 926249,1028.67,Housing
395,2025-09-22,SPOTIFY 64520599,39.53,Entertainment
396,2026-01-22,SPECTRUM 35020,184.1,Utilities
397,2026-02-04,QUEST DIAGNOSTICS 30965,106.35,Healthcare
398,2025-05-31,WALGREENS #7977,486.0,Healthcare
399,2025-11-01,AMAZON.COM*415667652,347.66,Shopping
400,2026-02-24,MARSHALLS #5953,316.85,Shopping
401,2026-04-29,DR SMITH MD 1471,115.44,Healthcare
402,2026-02-08,MISCELLANEOUS 5078,221.14,Ambiguous
403,2025-11-16,PLUMBER SVC 0145,1573.87,Housing
404,2026-05-14,PHYSICAL THERAPY 4346,344.99,Healthcare
405,2026-04-25,MORTGAGE PMT 87716,903.69,Housing
406,2025-07-30,REGAL CINEMA 9042,19.79,Entertainment
407,2025-11-16,WENDYS #573,6.25,Food
408,2025-06-11,ELECTRIC BILL 28767,101.13,Utilities
409,2025-11-12,DISH NETWORK 22872,67.01,Utilities
410,2026-02-26,KHAN ACADEMY,627.75,Education
411,2026-02-11,RITE AID #7635,289.72,Healthcare
412,2026-01-05,CHEVRON 8003,36.24,Transport
413,2026-04-16,MRI CENTER 75503,287.73,Healthcare
414,2025-10-07,LINKEDIN LRN 205955,520.67,Education
415,2026-03-05,RENT PMT JUL 9029,1912.94,Housing
416,2025-10-29,HOSPITAL BILL 182606,75.74,Healthcare
417,2025-08-05,SPECTRUM 58835,32.01,Utilities
418,2025-08-03,SCHOOL SUPPLIES 6179,598.97,Education
419,2026-02-12,IKEA 962887,1005.82,Housing
420,2026-04-30,SPECTRUM 09038,223.03,Utilities
421,2025-07-21,GRUBHUB ORDER 344565,54.68,Food
422,2025-09-20,MASTERCLASS SUB,591.39,Education
423,2025-08-16,WAYFAIR ORDER 4042269,1268.42,Housing
424,2026-03-08,SPECTRUM 93097,242.76,Utilities
425,2025-06-17,URGENT CARE 7509,46.36,Healthcare
426,2025-12-04,WASTE MGMT 40391,189.12,Utilities
427,2025-09-02,KHAN ACADEMY,23.47,Education
428,2025-08-20,LYFT *RIDE 68296,39.04,Transport
429,2026-02-06,IKEA 713971,857.8,Housing
430,2026-01-15,TRANSFER 29618033,280.9,Ambiguous
431,2026-03-14,HEALTH INS PMT 02559,44.79,Healthcare
432,2026-02-02,MACYS #7717,112.01,Shopping
433,2025-07-05,RITE AID #8242,70.6,Healthcare
434,2026-03-13,CITY MEDICAL CTR 9599,353.42,Healthcare
435,2025-05-29,AMC THEATRES #2716,39.76,Entertainment
436,2025-05-29,H&M #5930,115.47,Shopping
437,2025-06-27,STARBUCKS STORE 5941,69.47,Food
438,2026-04-07,EXXON #9117,97.1,Transport
439,2025-05-29,NETFLIX.COM,26.98,Entertainment
440,2026-04-15,SQ *19458870,455.15,Ambiguous
441,2026-02-26,UBER EATS 48739,58.0,Food
442,2025-07-05,SHERWIN WILLIAMS 3875,307.36,Housing
443,2026-05-08,CVS PHARMACY #6211,258.57,Healthcare
444,2025-07-05,TUTORING SVC 5798,781.76,Education
445,2026-05-15,WAYFAIR ORDER 4855716,1010.96,Housing
446,2025-07-02,SUBWAY #95604,31.54,Food
447,2025-06-24,GOOGLE FI 910883,184.83,Utilities
448,2025-05-22,MENARDS #4765,1779.47,Housing
449,2025-11-28,GREYHOUND BUS 71985,40.07,Transport
450,2025-08-25,PROPERTY MGMT 5396,918.31,Housing
451,2026-05-15,XBOX GAME PASS,11.67,Entertainment
452,2025-07-03,STUBHUB #8376452,38.09,Entertainment
453,2026-03-04,PEARSON EBOOK 988081,327.44,Education
454,2025-11-28,EDX COURSE 008350,772.96,Education
455,2025-10-10,PP*169061812,301.49,Ambiguous
456,2025-07-14,SUBWAY #4794,29.61,Food
457,2026-02-03,XFINITY INTERNET,163.38,Utilities
458,2025-05-27,JUST EAT 344651,45.54,Food
459,2026-02-13,NATIONAL RAIL 810798,86.57,Transport
460,2026-03-06,DOMINOS PIZZA 867,28.93,Food
461,2025-08-09,EBAY PURCHASE 17392957,240.14,Shopping
462,2025-06-02,HULU 7903067,9.54,Entertainment
463,2026-04-20,HOA FEE 2546,438.55,Housing
464,2026-02-19,STUBHUB #7148552,32.96,Entertainment
465,2026-04-14,EXAM FEE 74296,386.99,Education
466,2025-10-07,AMBULANCE SVC 41715,108.56,Healthcare
467,2025-07-18,ACE HARDWARE 1633,1332.11,Housing
468,2025-08-22,POS PURCHASE 67149,309.11,Ambiguous
